customer_id,cohort_month,txn_month
55786,2022-07,2022-07
86010,2022-01,2022-02
54499,2022-06,2023-04
32810,2022-06,2021-08
44201,2021-12,2021-03
66259,2023-12,2022-11
23457,2022-06,2022-07
39522,2023-04,2021-04
39633,2022-10,2021-06
93128,2023-01,2021-12
19294,2022-04,2022-12
43331,2023-02,2022-01
26535,2023-04,2021-03
61207,2023-03,2021-03
30441,2022-09,2021-06
39338,2023-03,2022-09
71717,2021-01,2023-11
87884,2023-11,2021-01
23133,2023-03,2023-10
50419,2022-04,2021-11
57173,2023-09,2022-09
45663,2023-12,2022-10
58675,2021-04,2021-11
35675,2022-09,2023-06
45652,2023-02,2023-05
23994,2021-03,2023-11
54750,2023-12,2023-05
494,2022-10,2021-01
26504,2021-01,2022-04
32988,2022-12,2023-12
42016,2023-10,2021-05
45628,2022-12,2021-08
69017,2021-08,2023-04
47701,2023-10,2022-01
44037,2023-08,2022-04
37776,2021-06,2021-01
95449,2021-12,2022-10
93428,2021-04,2023-01
51344,2023-12,2023-05
36746,2023-11,2022-12
80971,2021-06,2022-02
75228,2021-05,2022-01
20074,2023-09,2021-01
28411,2021-08,2023-07
7643,2022-04,2023-04
62889,2023-02,2021-03
83181,2021-10,2021-03
59811,2023-09,2022-01
19227,2022-04,2022-12
3714,2021-09,2021-11
90080,2021-06,2022-09
48374,2023-11,2021-11
80844,2023-02,2022-01
23296,2022-01,2023-04
13520,2021-09,2023-07
36358,2023-07,2022-01
92173,2021-09,2022-03
95368,2022-03,2022-08
8217,2022-10,2021-12
30396,2021-04,2023-12
61024,2022-02,2021-05
57639,2021-08,2022-02
95144,2022-01,2022-02
87788,2021-03,2023-05
16009,2023-05,2023-12
2379,2023-12,2023-03
39790,2023-02,2023-10
43985,2021-04,2022-08
8156,2022-09,2021-10
99447,2023-05,2022-06
57757,2023-11,2021-11
62177,2022-02,2021-10
7978,2023-12,2022-07
27149,2022-03,2022-06
75987,2023-08,2023-07
64420,2022-06,2022-09
75323,2023-08,2022-05
39505,2021-01,2021-02
77294,2023-06,2021-11
88242,2022-08,2023-04
71287,2022-03,2021-04
74241,2021-05,2021-09
54831,2023-11,2021-06
780,2023-07,2021-01
22845,2022-08,2022-10
91794,2023-10,2022-10
33515,2021-07,2023-03
74942,2021-09,2021-11
28175,2021-03,2022-11
89867,2021-08,2023-04
5572,2023-01,2021-03
32908,2022-06,2022-05
97107,2022-11,2022-11
42179,2023-10,2021-07
54168,2021-03,2022-08
63235,2021-12,2023-07
56881,2021-04,2021-06
47436,2023-09,2021-12
41531,2021-09,2023-11
66349,2022-09,2023-04
4295,2023-10,2022-11
69838,2022-09,2021-04
20422,2021-01,2022-06
88294,2021-05,2021-07
47838,2021-10,2023-05
57843,2023-12,2021-02
28320,2023-11,2023-06
40660,2023-06,2023-05
76280,2021-05,2023-02
84307,2022-05,2022-02
39948,2023-04,2021-11
19261,2023-12,2023-05
72191,2022-03,2022-01
27075,2021-03,2023-12
94125,2023-06,2023-07
42431,2022-05,2021-11
58899,2022-03,2021-05
20052,2021-05,2022-12
57150,2022-01,2021-05
13480,2021-12,2022-03
44176,2021-04,2021-08
29707,2023-06,2022-11
66822,2022-08,2022-01
57066,2021-12,2021-05
25755,2021-08,2021-06
81674,2021-01,2023-10
87530,2023-12,2022-12
81775,2023-04,2023-08
42693,2023-11,2022-11
65844,2023-08,2023-06
33361,2021-07,2022-06
67757,2021-07,2022-05
10884,2023-06,2023-11
57470,2023-04,2023-11
39884,2023-01,2021-01
87493,2021-02,2021-03
3372,2021-09,2021-06
41854,2022-04,2021-02
3156,2023-07,2023-05
12535,2021-06,2021-12
6971,2021-08,2021-01
20144,2023-09,2022-01
4470,2023-03,2022-11
20515,2021-09,2021-09
45659,2023-06,2023-03
59990,2023-10,2022-03
79142,2022-11,2022-06
43391,2022-04,2022-10
40465,2023-01,2021-12
99307,2021-02,2022-06
63598,2023-02,2023-11
87054,2023-08,2022-06
28109,2021-05,2022-02
84539,2023-01,2022-09
15706,2022-09,2023-01
5291,2023-06,2022-02
83959,2021-06,2021-12
111,2021-10,2023-12
86692,2023-01,2023-05
54847,2023-03,2021-05
8093,2022-12,2023-12
22882,2021-12,2023-11
97047,2021-12,2022-02
53227,2022-08,2023-05
751,2023-11,2022-06
18663,2022-04,2023-04
8703,2023-12,2021-11
24554,2023-10,2022-09
86271,2022-03,2023-01
57603,2022-07,2022-03
82305,2021-11,2023-10
37025,2021-03,2021-11
88612,2023-11,2023-01
77232,2023-06,2023-11
31999,2022-07,2022-01
19004,2022-11,2023-01
91265,2022-01,2022-07
78227,2023-05,2022-12
95471,2023-03,2023-09
56538,2021-09,2021-02
61353,2022-09,2023-01
85396,2023-05,2023-01
74733,2021-12,2022-12
62865,2022-03,2022-01
37644,2022-11,2021-08
46179,2021-05,2023-11
4138,2021-10,2022-07
7044,2023-08,2023-08
47200,2022-04,2021-06
73228,2022-04,2023-12
24597,2022-03,2023-10
27653,2021-05,2022-08
12816,2021-08,2022-11
58338,2022-12,2022-02
59239,2022-06,2023-08
30543,2022-04,2021-12
9792,2022-06,2022-03
37851,2022-01,2023-05
93378,2022-11,2023-02
75905,2023-05,2021-05
26092,2023-05,2023-05
62764,2023-09,2022-02
98049,2023-02,2022-07
51480,2021-01,2021-04
87452,2021-11,2021-12
34024,2021-06,2022-06
69636,2023-01,2022-12
74368,2021-11,2021-08
2866,2021-02,2022-08
82033,2023-01,2022-06
16603,2021-06,2021-11
7862,2022-08,2023-03
42267,2022-06,2021-10
84095,2022-08,2021-05
10159,2023-09,2021-11
55053,2021-11,2021-01
39367,2021-11,2022-04
63929,2023-07,2021-12
49389,2022-05,2021-04
55611,2021-11,2023-05
94394,2021-11,2023-04
40992,2023-07,2022-08
33916,2022-06,2023-03
61263,2022-12,2021-12
95165,2021-09,2021-02
36738,2021-02,2021-11
89603,2022-04,2023-07
98647,2022-01,2021-12
18014,2021-05,2023-09
19983,2022-06,2023-08
67048,2023-05,2021-09
55831,2022-09,2023-01
13960,2023-02,2023-10
68856,2022-09,2023-03
53062,2023-05,2022-01
24645,2021-01,2022-12
73071,2022-04,2021-11
22785,2023-04,2023-08
70104,2021-03,2021-12
82595,2023-03,2021-09
30113,2021-05,2023-04
3001,2023-05,2023-08
43835,2022-03,2022-10
11097,2023-04,2023-08
6510,2021-02,2021-10
11171,2022-05,2021-08
36656,2022-09,2021-09
3617,2021-02,2021-10
42343,2021-07,2022-06
63608,2021-10,2022-10
17744,2023-08,2021-08
12828,2023-11,2022-03
96443,2023-02,2021-05
36750,2021-01,2023-01
14219,2022-04,2023-10
45966,2023-05,2022-03
53279,2021-02,2023-10
84228,2021-06,2021-07
1283,2022-03,2023-04
39950,2021-06,2023-06
34001,2021-04,2021-12
90210,2021-10,2023-07
98212,2022-01,2022-08
12098,2021-10,2023-11
96247,2021-03,2021-11
29606,2021-11,2022-12
50395,2023-01,2022-11
81332,2021-03,2021-12
62429,2022-03,2023-04
82299,2023-01,2021-12
37787,2022-01,2023-11
91163,2022-08,2022-05
97845,2021-04,2023-11
80639,2022-02,2023-12
86686,2023-12,2023-12
61814,2021-06,2023-10
35621,2023-03,2021-12
85812,2021-05,2021-07
28283,2021-01,2021-06
98141,2023-09,2023-10
29212,2023-07,2023-04
78289,2023-03,2022-08
13766,2022-03,2022-12
33089,2022-02,2022-01
61379,2022-02,2023-07
77993,2021-04,2021-07
55517,2023-10,2022-05
34151,2023-01,2022-04
87035,2022-10,2023-12
72932,2021-09,2022-08
51714,2022-07,2022-11
58790,2023-08,2023-05
20345,2023-06,2021-01
94496,2022-07,2023-07
31712,2023-09,2022-02
67755,2022-08,2021-01
54623,2022-12,2021-03
30900,2021-10,2023-07
15157,2023-02,2021-03
32557,2022-11,2022-03
91624,2022-07,2021-01
29669,2022-04,2022-09
76921,2023-09,2023-07
89636,2023-06,2021-11
92664,2023-09,2022-02
45122,2023-04,2022-12
29588,2023-07,2021-07
65646,2022-08,2022-04
14240,2022-12,2023-12
74295,2021-04,2023-09
66901,2021-07,2021-04
80996,2022-09,2021-12
56166,2023-05,2023-03
11634,2021-11,2021-07
10419,2023-03,2022-03
21884,2023-10,2021-05
26747,2023-04,2022-10
55851,2021-09,2022-04
77975,2021-08,2022-02
69880,2022-08,2023-06
17426,2023-05,2021-02
22946,2021-02,2021-01
26009,2023-11,2021-02
81,2023-10,2021-04
56210,2021-07,2021-03
60436,2021-01,2022-02
61520,2023-08,2021-06
59863,2021-03,2022-05
44540,2022-03,2021-09
84791,2021-12,2021-12
50698,2022-06,2023-12
45935,2021-11,2023-08
48010,2021-11,2022-05
31494,2022-08,2023-10
45069,2021-09,2023-02
78438,2021-05,2021-12
34681,2022-01,2023-03
84596,2023-08,2021-01
56334,2022-05,2022-03
32333,2022-02,2022-07
50108,2021-01,2023-09
43276,2023-03,2022-11
3748,2023-12,2023-12
91685,2022-04,2023-11
87607,2022-10,2022-10
99043,2022-03,2023-10
62354,2022-09,2023-06
82663,2023-04,2023-10
76640,2023-06,2021-01
11975,2022-03,2022-06
72006,2022-05,2023-08
88048,2022-10,2022-04
25660,2021-05,2023-10
8150,2021-02,2022-05
32466,2021-07,2023-12
86249,2021-01,2021-06
77157,2022-08,2022-06
47502,2023-12,2021-09
76845,2021-01,2021-11
90379,2022-07,2021-11
788,2023-01,2023-06
33607,2023-07,2021-05
97521,2021-11,2021-01
50805,2022-04,2021-11
8786,2022-07,2021-03
92468,2023-09,2023-08
47803,2022-12,2023-01
14832,2023-07,2021-10
13970,2021-12,2022-03
78632,2022-07,2022-10
67134,2021-07,2021-09
58950,2022-05,2023-07
58426,2021-12,2023-07
34418,2023-08,2021-06
87466,2021-11,2021-07
29971,2023-03,2021-08
38285,2021-11,2022-06
94694,2022-10,2023-07
44908,2022-06,2022-05
45508,2022-05,2023-11
33110,2023-07,2023-03
45949,2021-10,2023-01
41936,2022-04,2022-10
40821,2023-10,2021-12
52324,2022-06,2021-05
47906,2022-03,2023-11
75718,2023-10,2023-05
18806,2022-07,2022-07
96136,2022-10,2022-02
18940,2021-09,2022-01
80221,2021-09,2023-12
6652,2023-07,2021-10
59429,2022-03,2022-04
5148,2023-06,2023-01
25219,2021-08,2023-05
73555,2023-02,2021-11
29099,2022-04,2021-09
72544,2022-08,2021-05
91941,2021-06,2022-05
77512,2021-02,2022-11
83311,2022-12,2021-09
66830,2023-10,2021-11
7571,2023-01,2023-02
43792,2023-05,2023-11
33727,2022-12,2022-12
75389,2021-01,2021-05
49548,2021-02,2021-01
4035,2022-04,2021-06
40121,2022-07,2023-12
34937,2021-08,2021-12
63296,2023-06,2023-06
41955,2021-06,2023-06
64295,2022-01,2021-09
76473,2023-01,2023-03
81982,2023-02,2023-06
51283,2022-08,2023-08
62679,2021-11,2021-04
14021,2022-08,2022-11
90137,2022-03,2023-10
89970,2023-01,2021-02
15805,2023-05,2023-09
25306,2021-04,2022-10
38570,2021-09,2023-10
61940,2022-02,2023-02
61285,2022-02,2022-10
76421,2021-11,2023-12
43043,2023-07,2021-08
22311,2021-01,2022-03
58345,2022-06,2022-04
79433,2021-09,2022-12
55834,2023-07,2023-05
64887,2023-05,2023-08
30661,2022-04,2021-07
6671,2021-07,2021-07
10297,2022-10,2023-05
63872,2022-09,2022-03
83862,2023-07,2023-09
58948,2023-06,2022-02
32310,2022-05,2022-07
94717,2021-01,2023-09
98289,2022-09,2023-12
37244,2023-06,2022-02
73992,2021-08,2021-08
87820,2022-07,2023-11
82091,2021-10,2021-04
14555,2022-01,2021-06
65545,2023-05,2023-04
91284,2022-12,2023-02
71548,2023-11,2021-09
83933,2022-06,2022-09
47986,2023-06,2023-07
14226,2023-01,2023-02
34066,2022-09,2022-08
91854,2021-04,2023-08
93300,2021-04,2022-11
37703,2023-10,2021-12
73393,2023-05,2021-03
65763,2021-11,2022-12
85128,2022-12,2022-04
50895,2023-11,2021-12
67966,2023-08,2023-08
56299,2021-11,2022-10
93883,2021-08,2022-01
9990,2022-10,2021-06
11757,2021-01,2021-02
88794,2023-11,2021-03
57995,2021-12,2023-02
88573,2023-06,2022-09
26728,2023-11,2023-12
99583,2022-04,2023-08
19103,2021-09,2023-08
45166,2023-11,2021-04
85512,2023-03,2023-10
80534,2023-07,2021-12
80327,2023-10,2021-01
87729,2022-01,2023-05
5039,2023-12,2022-05
14267,2023-12,2022-10
54722,2023-02,2021-10
1044,2022-02,2021-05
18776,2023-06,2022-11
54501,2023-07,2023-07
42859,2023-08,2021-12
32171,2023-10,2021-11
31905,2023-01,2022-12
13982,2021-05,2021-08
17334,2022-05,2023-05
46206,2023-04,2022-05
57181,2022-04,2022-11
65617,2022-09,2022-11
42858,2023-11,2021-09
49703,2022-12,2021-02
96019,2022-06,2022-05
28926,2022-12,2022-08
37088,2022-08,2022-07
31549,2022-05,2021-01
91665,2021-04,2022-10
81717,2023-03,2023-09
56180,2021-10,2022-09
16607,2022-09,2021-02
88722,2022-12,2021-02
26308,2022-12,2021-03
67380,2023-05,2021-10
85931,2023-12,2022-04
4535,2021-02,2023-01
31108,2022-12,2022-05
18749,2022-08,2022-05
22641,2022-12,2023-06
6422,2022-01,2021-10
18120,2023-07,2021-12
76032,2023-10,2023-01
58442,2021-04,2022-09
10209,2023-03,2022-11
53202,2022-12,2022-07
34077,2023-01,2022-03
89562,2022-08,2022-03
7296,2022-03,2021-03
12103,2021-06,2022-10
89189,2023-03,2022-05
93766,2023-10,2023-09
24164,2023-08,2021-08
82532,2023-02,2021-10
71042,2021-09,2023-04
36642,2023-08,2023-10
48323,2021-04,2021-12
2482,2023-08,2022-02
86029,2023-01,2023-12
49274,2022-02,2022-06
18489,2023-11,2022-11
48917,2022-10,2023-07
78630,2022-03,2023-07
8743,2023-08,2022-05
95540,2023-12,2023-03
48324,2021-11,2023-01
56345,2023-09,2021-12
68050,2021-04,2021-07
55649,2023-04,2022-11
94306,2021-12,2023-06
50985,2021-04,2023-02
17071,2022-11,2023-11
38571,2023-05,2022-08
99398,2022-08,2021-11
53838,2023-01,2021-07
67776,2022-02,2021-08
39718,2023-09,2022-11
92517,2021-07,2021-03
90485,2022-04,2021-03
44558,2021-03,2022-01
43105,2021-09,2022-02
70730,2022-09,2021-06
86648,2021-02,2023-03
95446,2022-10,2021-02
71080,2022-12,2021-12
19556,2022-12,2023-11
62220,2021-03,2023-07
59936,2023-01,2023-06
18388,2021-10,2021-03
75702,2023-06,2022-12
1944,2021-02,2021-12
10936,2021-06,2023-04
61648,2023-03,2021-08
22207,2023-09,2021-09
75180,2021-03,2023-02
84854,2021-05,2022-04
2037,2022-10,2021-07
27711,2021-01,2022-11
23175,2022-09,2022-08
74106,2022-09,2021-06
42809,2023-10,2021-10
21448,2021-07,2022-03
68870,2023-05,2021-12
19868,2021-08,2023-08
35445,2023-11,2023-01
5687,2023-04,2023-10
21434,2022-07,2022-06
7927,2023-12,2021-12
80332,2022-08,2023-08
98529,2021-03,2021-12
95684,2021-08,2022-06
44591,2021-03,2021-12
64885,2023-04,2022-01
6279,2021-02,2022-10
88622,2022-12,2021-11
5291,2023-06,2023-05
38576,2022-06,2023-12
20775,2023-07,2021-06
68624,2021-09,2023-05
24852,2021-02,2023-12
57981,2021-04,2021-09
20866,2021-11,2023-01
32886,2021-09,2023-03
24101,2022-02,2023-02
53123,2021-07,2023-08
50503,2022-03,2023-02
22787,2023-06,2023-11
24066,2023-04,2022-10
40978,2022-09,2023-04
44989,2021-03,2022-02
70305,2022-07,2023-06
90468,2021-05,2023-03
38892,2022-09,2022-12
23738,2021-07,2022-11
31539,2021-06,2021-09
17007,2023-08,2022-10
27937,2021-03,2023-08
6906,2021-01,2022-10
40549,2021-12,2021-03
64402,2023-03,2023-03
90059,2023-04,2022-12
30741,2021-05,2022-12
24162,2023-09,2022-07
96372,2021-07,2022-11
25231,2023-11,2021-12
99975,2021-12,2022-01
81809,2021-01,2022-07
35334,2022-01,2023-06
30935,2021-09,2021-12
47042,2022-10,2021-10
65035,2021-06,2021-01
20752,2023-04,2022-05
16390,2023-09,2023-05
59666,2021-09,2022-06
19497,2022-03,2022-07
36049,2021-12,2021-04
1501,2022-08,2021-05
596,2023-05,2022-04
94763,2022-08,2022-09
90333,2023-07,2023-01
42604,2022-03,2021-11
23070,2021-04,2023-10
50204,2022-06,2021-08
32890,2021-08,2021-09
41265,2022-01,2021-12
85419,2021-02,2021-09
22257,2021-07,2022-01
54575,2021-12,2023-05
69925,2022-11,2022-03
42736,2021-12,2021-11
20125,2023-11,2022-07
70100,2021-09,2021-07
41537,2021-08,2022-12
53362,2023-10,2021-08
58786,2023-11,2023-11
33524,2023-04,2021-02
23998,2023-06,2021-08
97052,2023-05,2023-03
77550,2021-08,2021-06
3382,2023-05,2021-07
88593,2022-11,2021-01
96057,2023-10,2021-02
92700,2023-03,2023-06
98925,2023-09,2021-11
56533,2023-11,2021-01
16028,2022-01,2021-02
6916,2023-09,2022-06
38387,2021-05,2021-06
35798,2023-04,2023-06
32446,2022-07,2021-07
29612,2023-03,2021-06
46916,2023-02,2021-06
99431,2021-09,2021-11
12869,2022-07,2023-04
23908,2023-12,2021-09
14001,2022-03,2021-11
77445,2022-11,2022-06
22217,2023-05,2021-11
14268,2022-04,2021-09
33634,2023-08,2021-12
34079,2023-05,2022-10
87507,2021-06,2023-10
12989,2021-12,2023-01
96016,2022-02,2021-12
29818,2022-04,2023-07
95307,2023-06,2023-05
59471,2021-10,2022-05
92704,2023-12,2021-05
92003,2021-10,2022-08
57379,2021-06,2022-09
21207,2022-02,2021-04
74066,2022-03,2021-10
53612,2021-01,2023-03
63328,2022-02,2022-11
89922,2021-09,2022-04
36477,2023-08,2023-10
95677,2021-03,2021-11
49076,2022-05,2023-03
81397,2021-11,2021-07
33131,2022-09,2021-04
73049,2022-01,2023-09
72408,2021-10,2023-02
25646,2021-03,2023-08
27804,2023-01,2023-11
52994,2023-07,2021-11
51757,2022-12,2021-11
43529,2022-06,2021-07
98472,2021-04,2022-11
76858,2023-05,2023-01
68420,2022-02,2022-05
62287,2021-02,2022-03
68169,2023-08,2021-09
28703,2021-04,2023-12
60256,2023-08,2022-02
66428,2022-03,2021-07
3931,2023-02,2023-09
33194,2021-12,2021-11
9119,2022-02,2021-01
19947,2022-09,2021-12
61402,2022-08,2021-09
18075,2021-12,2021-01
20342,2022-07,2023-01
27692,2021-05,2023-06
82407,2021-09,2022-06
53198,2023-12,2021-09
48462,2021-01,2021-07
77920,2021-02,2023-01
32303,2022-07,2021-07
66424,2022-10,2021-05
61062,2023-12,2021-04
73303,2022-03,2021-12
21502,2021-12,2022-04
10662,2023-04,2022-12
51084,2023-05,2022-04
94531,2023-05,2022-02
42055,2022-05,2023-08
74497,2022-08,2022-11
96999,2021-11,2022-03
10473,2023-03,2021-04
73225,2023-09,2021-05
38652,2021-01,2021-12
54120,2023-01,2021-11
75645,2022-08,2022-10
35871,2023-05,2022-07
84658,2023-01,2022-10
92489,2021-11,2021-12
46878,2022-07,2021-01
7879,2023-05,2021-09
76444,2022-11,2023-09
3482,2021-09,2022-03
59286,2022-02,2023-12
71856,2023-01,2021-02
2173,2023-12,2023-01
76517,2021-04,2023-07
87521,2021-07,2023-11
36393,2021-06,2023-12
4859,2021-10,2023-03
64955,2023-02,2023-02
94713,2022-03,2023-12
63324,2023-08,2023-12
49449,2022-03,2022-03
77646,2023-06,2022-08
29837,2022-03,2023-09
39420,2023-07,2023-03
98557,2021-05,2022-06
9354,2021-05,2023-04
90236,2021-01,2022-08
69866,2021-02,2023-09
57838,2023-06,2022-08
17486,2021-07,2023-01
99563,2021-05,2022-04
35254,2022-03,2023-12
19416,2023-10,2022-12
84814,2023-11,2021-07
93998,2022-05,2022-11
54499,2022-06,2021-07
33704,2022-08,2023-01
95463,2022-11,2022-12
70010,2022-03,2022-03
30960,2021-11,2022-12
74206,2023-01,2023-07
77987,2021-12,2023-01
88448,2022-10,2022-11
83523,2023-04,2022-10
16236,2022-01,2022-12
76088,2023-12,2021-09
58975,2023-09,2022-01
76827,2021-10,2023-11
1175,2021-01,2023-05
50330,2023-09,2023-09
24339,2021-12,2022-09
11652,2021-06,2023-07
28842,2023-10,2021-12
15878,2021-08,2021-04
28753,2023-06,2023-05
48793,2022-08,2021-02
7511,2022-02,2021-08
23601,2022-06,2022-02
17481,2022-03,2021-05
7551,2022-01,2022-11
90766,2021-05,2021-10
97891,2022-05,2021-04
53745,2022-07,2023-04
44081,2023-08,2022-01
49049,2022-04,2023-07
76597,2023-08,2022-08
51241,2021-05,2021-01
35749,2021-07,2023-11
20385,2022-11,2022-05
60164,2021-08,2021-01
36792,2023-07,2021-01
44562,2023-04,2022-06
92327,2021-10,2022-06
77751,2023-08,2021-11
95705,2021-04,2022-10
46560,2021-09,2022-12
70546,2022-04,2023-12
70777,2022-07,2022-01
83222,2022-03,2023-02
69963,2022-04,2021-04
4813,2022-07,2021-01
39166,2021-08,2021-09
36854,2023-10,2023-11
77843,2023-06,2023-06
83320,2021-04,2021-07
96300,2021-12,2022-11
59474,2023-10,2022-08
64960,2022-02,2021-03
68815,2021-11,2023-12
67791,2022-11,2021-03
81800,2021-01,2022-09
7313,2022-07,2022-11
85777,2023-03,2023-05
4923,2022-08,2022-10
97731,2022-03,2021-02
34792,2023-09,2021-09
47971,2023-11,2021-10
81160,2022-09,2021-05
67743,2022-06,2021-03
76491,2022-05,2022-11
58991,2022-08,2021-10
48370,2021-03,2023-12
37638,2022-11,2023-10
64259,2023-04,2021-07
38866,2022-10,2023-08
24746,2021-06,2023-09
67075,2023-06,2023-04
64591,2023-10,2023-04
92354,2022-08,2021-01
76524,2022-07,2023-09
67229,2022-03,2021-02
88477,2022-07,2022-12
53349,2021-03,2021-04
94127,2022-06,2023-04
23690,2022-05,2022-08
61076,2021-04,2023-09
60056,2022-11,2021-07
9653,2023-07,2022-03
36810,2021-08,2022-10
18905,2022-10,2021-01
68379,2021-10,2023-12
29452,2023-03,2022-10
65155,2023-12,2022-07
87175,2021-03,2022-05
37696,2023-09,2022-11
62794,2022-12,2022-04
99493,2023-03,2022-03
44300,2023-03,2022-07
98890,2023-11,2023-03
69574,2022-12,2022-12
83319,2023-08,2021-08
83013,2023-08,2022-12
90478,2022-03,2021-06
94022,2022-07,2023-12
64190,2022-04,2021-01
59824,2022-09,2021-12
76912,2021-08,2021-05
1712,2022-05,2022-07
74503,2023-05,2021-10
3555,2022-03,2021-04
17095,2023-09,2023-01
47000,2023-01,2021-10
40717,2021-05,2022-03
52498,2021-07,2022-12
38664,2022-12,2023-10
39412,2022-11,2021-02
76917,2023-05,2022-09
22365,2022-06,2021-01
1159,2022-02,2021-11
93866,2021-03,2021-07
20497,2023-06,2021-11
49850,2023-08,2023-02
68799,2022-11,2023-06
12417,2023-10,2021-02
8319,2021-09,2022-10
34167,2022-11,2022-04
